NR_solar_pv,NER_solar_pv,ER_solar_pv,WR_solar_pv,SR_solar_pv,NR_onshore_wind,NER_onshore_wind,ER_onshore_wind,WR_onshore_wind,SR_onshore_wind
0.416920384,0.114473305,0.149093864,0.181499574,0.181293397,0.409326077,5.04E-05,0.027345492,0.291266352,6.64E-05
0.221637744,0.03487298,0.060032846,0.094245247,0.082196902,0.685454428,0.097491965,0.000123209,0.210415676,0.002060085
0.057293657,0.001742103,0.010929424,0.026673526,0.019225853,0.560226202,0.291266352,5.38E-05,0.223368809,5.04E-05
3.41114E-05,0,0,0.001714032,4.95409E-06,0.414616615,0.210415676,6.64E-05,0.409326077,0.097491965
0,0,0,0,0,0.492882252,0.223368809,0.002060085,0.685454428,0.291266352
0,0,0,0,0,0.543901205,0.409326077,5.04E-05,0.560226202,0.210415676
0,0,0,0,0,0.584094465,0.685454428,0.097491965,0.414616615,0.223368809
0,0,0,0,0,0.575396657,0.560226202,0.291266352,0.492882252,0.409326077
0,0,0,0,0,0.222339511,0.414616615,0.210415676,0.543901205,0.685454428
0,0,0,0,0,0.063489825,0.492882252,0.223368809,0.584094465,0.560226202
0,0,0,0,0,0.034827486,0.543901205,0.409326077,0.575396657,0.414616615
0,0,0,0,0,0.0359466,0.584094465,0.685454428,0.222339511,0.492882252
0,0,0,0,0,0.168909371,0.575396657,0.560226202,0.063489825,0.543901205
0,0.021596612,0.001614276,0,0,0.119043224,0.222339511,0.414616615,0.034827486,0.584094465
0.028168545,0.096107401,0.054766203,0.009289247,0.0177531,0.057592459,0.063489825,0.492882252,0.0359466,0.575396657
0.160302325,0.208913968,0.182334557,0.072100959,0.099663088,0.084502511,0.034827486,0.543901205,0.168909371,0.222339511
0.362082816,0.322561179,0.32461304,0.190405276,0.239711236,0.249637455,0.0359466,0.584094465,0.119043224,0.063489825
0.530113946,0.412043789,0.422807408,0.277139654,0.360126451,0.350143909,0.168909371,0.575396657,0.057592459,0.034827486
0.648287274,0.468468826,0.475910669,0.331102721,0.435836919,0.742475271,0.119043224,0.222339511,0.084502511,0.0359466
0.725233531,0.49205162,0.504584821,0.378329198,0.478373291,0.870121062,0.057592459,0.063489825,0.249637455,0.168909371
0.756899066,0.484090573,0.497714406,0.400660292,0.484508526,0.958805382,0.084502511,0.034827486,0.350143909,0.119043224
0.74096579,0.436573502,0.453280358,0.392230459,0.449445168,0.799080312,0.249637455,0.0359466,0.742475271,0.057592459
0.67887097,0.351093142,0.376573745,0.350881023,0.378401934,0.399789095,0.350143909,0.168909371,0.870121062,0.084502511
0.570235264,0.241245504,0.274951864,0.284926348,0.285959871,0.343781441,0.742475271,0.119043224,0.958805382,0.249637455
0.416920384,0.123367517,0.158785041,0.199204372,0.176977658,0.002315517,0.870121062,0.057592459,0.799080312,0.350143909
0.221637744,0.033417793,0.053587996,0.107543947,0.074270379,0.094827555,0.958805382,0.084502511,0.399789095,0.742475271
0.057293657,0.000154151,0.004798177,0.031123546,0.014648873,0.031066958,0.799080312,0.249637455,0.343781441,0.870121062
3.41114E-05,0,0,0.000395911,0,0.097598262,0.399789095,0.350143909,0.002315517,0.958805382
0,0,0,0,0,0.058144085,0.343781441,0.742475271,0.094827555,0.799080312
0,0,0,0,0,0.142925054,0.002315517,0.870121062,0.031066958,0.399789095
0,0,0,0,0,0.373674929,0.094827555,0.958805382,0.097598262,0.343781441
